WshedID,BASINID,Ditch_ID,AreaM2,CellCount,RainMeanMM,RainSumMM,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E
20,117,,29800,298,3823,1139160,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,118,,31900,319,3891,1241070,4,2,0,8,0,1,0,1,,4,2,0,8,0,1,0,1
20,119,,22200,222,3861,857195,32,14,0,65,0,12,0,7,,32,14,0,65,0,12,0,7
20,120,,572600,5726,4250,24332800,430,121,0,575,0,89,0,65,,430,121,0,575,0,89,0,65
20,121,,6900,69,4461,307819,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,122,,22000,220,4526,995797,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,123,,177900,1779,4734,8421580,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,124,,269500,2695,4698,12660800,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,125,,6000,60,4628,277691,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
21,126,,196100,1961,3234,6341830,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
21,127,,320200,3202,3911,12522900,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
22,128,,252500,2525,3236,8170630,383,127,0,524,1,127,0,68,,383,127,0,524,1,127,0,68
22,129,,168700,1687,3878,6541780,366,93,0,550,0,43,0,34,,366,93,0,550,0,43,0,34
22,130,,190500,1905,4285,8162170,452,55,0,346,0,25,0,22,,452,55,0,346,0,25,0,22
22,131,,11300,113,4479,506133,61,4,0,33,0,2,0,2,,61,4,0,33,0,2,0,2
22,132,,2088000,20880,5596,116840000,3125,18,0,766,0,7,0,3,,3125,18,0,766,0,7,0,3
22,133,,761700,7617,3325,25329800,662,598,46,876,95,401,13,420,,662,598,46,876,95,401,13,420
23,134,,4900,49,3580,175398,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,135,,57400,574,3709,2129220,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,136,,117000,1170,3769,4409720,286,90,0,420,0,38,0,29,,286,90,0,420,0,38,0,29
23,137,,68200,682,3882,2647360,149,50,0,217,0,22,0,16,,149,50,0,217,0,22,0,16
23,138,,13000,130,3973,516546,23,5,0,29,0,2,0,2,,23,5,0,29,0,2,0,2
23,139,,269100,2691,4179,11246800,370,46,0,288,0,22,0,19,,370,46,0,288,0,22,0,19
23,140,,229100,2291,4227,9683150,635,105,0,471,0,43,0,38,,635,105,0,471,0,43,0,38
23,141,,38300,383,4398,1684310,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,142,,53800,538,4449,2393440,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,143,,6200,62,4378,271462,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,144,,9100,91,4367,397361,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,145,,14300,143,4334,619789,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,146,,232900,2329,4594,10700100,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,147,,209800,2098,4700,9859950,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,148,,83800,838,4616,3867930,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,149,,611200,6112,4846,29621700,2218,48,0,845,0,16,0,7,,2218,48,0,845,0,16,0,7
24,150,,653500,6535,3091,20196800,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
24,151,,8700,87,3428,298216,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
